person_age,person_gender,person_income,person_emp_exp,person_home_1ership,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,class
23,1,86811,0,0,30000,11.01,0.35,4,602,0,1
26,0,75503,5,0,30000,17.99,0.4,2,616,0,1
24,1,15082,0,1,2500,12.69,0.17,3,631,0,1
26,0,361293,5,2,20000,7.88,0.06,4,684,1,0
23,0,361547,0,1,24250,19.41,0.07,2,637,1,0
26,0,360680,5,1,10000,10.38,0.03,4,649,0,0
26,0,360977,5,2,25000,15.33,0.07,3,695,1,0
25,1,361244,2,2,18000,16.45,0.05,3,620,0,0
26,0,98230,2,0,30000,7.49,0.31,3,622,0,1
22,1,80838,0,0,30000,12.69,0.37,3,645,0,1
26,0,107957,2,0,30000,6.62,0.28,3,654,0,1
24,1,94649,2,0,30000,11.01,0.32,4,624,0,1
23,0,94550,1,0,30000,18.62,0.32,3,570,0,1
23,0,111153,3,0,30000,15.23,0.27,3,648,0,1
23,1,117250,0,0,30000,10.65,0.26,2,652,0,1
25,0,144985,3,0,30000,7.9,0.21,4,559,0,0
26,0,337133,7,0,10000,15.96,0.03,3,623,1,0
26,0,333566,2,0,20000,11.48,0.06,3,602,1,0
23,0,333399,1,1,35000,11.01,0.1,4,609,0,0
25,0,154793,1,0,30000,7.29,0.19,4,573,1,0
24,0,15229,1,1,1750,11.01,0.11,3,631,1,0
21,1,158338,0,0,30000,5.99,0.19,4,623,1,0
22,1,331034,0,1,12000,11.58,0.04,2,602,1,0
26,1,316466,6,2,10000,11.01,0.03,4,579,0,1
25,1,267671,0,2,25000,15.7,0.09,2,582,0,1
22,0,85191,0,0,29100,15.99,0.34,3,700,0,1
22,0,15013,0,2,1500,14.84,0.1,3,688,0,0
26,0,313100,3,1,28000,10.99,0.09,3,607,1,0
25,1,311952,0,2,20000,14.42,0.06,2,661,1,0
24,0,306897,5,2,9600,6.99,0.03,2,562,1,0
25,1,301136,0,0,25000,13.49,0.08,4,664,1,0
25,0,15162,1,1,3000,11.01,0.2,3,564,0,1
22,0,69042,0,0,28000,11.01,0.41,2,598,0,1
21,1,15307,0,1,3000,13.61,0.2,3,557,0,1
23,1,79183,0,0,28000,7.9,0.35,2,677,0,1
26,0,102654,4,0,28000,7.49,0.27,3,690,0,1
26,0,15229,1,1,6100,7.51,0.4,3,599,0,1
22,0,106566,0,0,28000,9.91,0.26,3,604,0,1
21,1,15252,0,1,4200,13.48,0.28,4,663,0,1
22,0,15432,3,1,4750,7.14,0.31,2,601,0,1
24,0,100332,1,0,28000,15.99,0.28,4,634,0,1
24,0,300951,2,0,18000,12.98,0.06,3,671,0,0
144,0,300616,125,0,4800,13.57,0.02,3,789,0,0
25,1,121062,1,0,28000,12.69,0.23,3,622,0,0
26,0,133372,1,0,28000,8.9,0.21,2,538,1,0
26,0,15505,0,1,2700,11.01,0.17,4,587,0,1
22,0,130852,0,0,28000,11.01,0.21,4,683,0,1
23,0,182316,0,0,28000,11.11,0.15,2,634,1,0
24,1,83853,3,0,27600,11.01,0.33,2,690,0,1
21,1,15394,0,2,3250,15.68,0.21,3,518,0,1
22,1,85243,0,0,27500,13.06,0.32,3,583,0,1
22,0,288907,2,1,25000,11.01,0.09,2,617,1,0
26,0,89074,4,0,27050,15.62,0.3,2,668,0,1
24,0,100509,2,0,27000,13.49,0.27,2,673,0,1
24,0,88950,3,0,27000,11.01,0.3,3,706,0,1
23,1,75894,1,0,26000,11.71,0.34,2,536,0,1
23,0,145092,0,0,25600,12.69,0.18,3,557,1,0
24,1,15928,1,1,1600,13.57,0.1,3,689,1,0
22,0,73131,3,0,25475,10.99,0.35,3,681,0,1
25,0,281501,4,2,20000,14.27,0.07,4,623,1,0
24,1,281775,0,1,20000,8.88,0.07,4,595,1,0
26,0,281792,1,2,21600,12.18,0.08,3,584,1,0
25,0,266090,4,2,11900,14.42,0.04,3,669,0,1
26,0,279664,3,2,25000,14.17,0.09,2,642,1,0
25,1,277017,4,2,35000,13.99,0.13,4,622,1,0
23,0,100756,0,0,25300,10.99,0.25,3,689,0,1
22,0,16218,1,2,2000,5.42,0.12,4,614,0,1
25,1,16211,2,1,1750,13.61,0.11,3,597,1,0
21,1,51922,3,0,25000,12.73,0.48,3,673,0,1
24,0,50309,3,0,25000,11.01,0.5,3,625,0,1
25,0,16378,0,1,3000,12.87,0.18,4,603,0,1
24,0,16572,0,2,3650,9.91,0.22,3,589,0,1
26,0,272201,5,2,20000,11.49,0.07,4,670,1,0
25,1,271324,3,2,30000,19.91,0.11,2,637,1,0
26,0,256862,2,2,35000,10.65,0.14,2,643,0,1
24,0,271342,0,0,6000,11.01,0.02,4,508,1,0
24,0,16470,2,2,4500,11.83,0.27,4,643,0,1
23,0,16599,0,1,2400,13.49,0.14,2,505,0,1
22,0,51608,0,0,25000,14.59,0.48,2,593,0,1
26,1,58516,6,0,25000,9.64,0.43,4,686,0,1
25,1,16395,4,1,3600,14.59,0.22,3,646,0,1
22,1,16890,0,1,4750,11.01,0.28,3,645,0,1
25,1,51747,3,0,25000,16.35,0.48,3,697,0,1
21,0,59864,0,0,25000,10.99,0.42,2,648,0,1
25,0,270972,1,2,25000,18.67,0.09,2,640,1,0
26,0,270870,5,0,3000,9.32,0.01,4,681,0,0
23,1,270729,0,0,7500,8.63,0.03,2,646,0,0
26,0,270877,4,2,25000,10.08,0.09,2,615,1,0
22,0,60501,0,0,25000,11.83,0.41,3,687,0,1
23,0,60754,1,0,25000,7.9,0.41,3,650,0,1
25,0,60829,0,0,25000,5.99,0.41,2,588,0,1
24,0,53825,2,0,25000,15.33,0.46,2,652,0,1
23,0,60801,0,0,25000,11.83,0.41,4,658,0,1
22,0,60747,0,0,25000,10.36,0.41,2,634,0,1
22,1,61029,0,0,25000,12.23,0.41,3,623,0,1
22,1,63236,0,0,25000,11.11,0.4,4,635,0,1
23,1,17149,0,1,4950,7.9,0.29,4,531,0,1
24,1,265066,4,2,25000,11.58,0.09,2,665,1,0
23,0,260205,2,2,21000,8.9,0.08,3,703,0,0
25,1,260035,5,2,25000,16.07,0.1,3,585,1,0
26,1,260444,4,2,20000,14.22,0.08,2,594,0,0
23,0,258980,0,2,35000,14.79,0.14,3,618,1,0
26,0,259081,2,2,12000,7.88,0.05,2,626,1,0
23,0,63497,0,0,25000,13.22,0.39,2,695,0,1
26,1,56325,2,0,25000,11.86,0.44,4,690,0,1
22,0,64842,0,0,25000,13.43,0.39,4,574,0,1
26,1,57856,0,0,25000,15.28,0.43,2,602,0,1
23,0,57318,0,0,25000,17.93,0.44,2,679,0,1
23,1,16916,2,2,1400,9.25,0.08,4,615,0,0
21,0,16664,0,1,4500,12.98,0.27,4,601,0,1
22,0,252803,0,2,16000,10.62,0.06,4,577,1,0
26,1,253061,3,1,22000,11.83,0.09,4,588,1,0
26,0,58602,8,0,25000,18.43,0.43,2,595,0,1
22,0,67012,2,0,25000,11.01,0.37,4,653,0,1
24,1,66643,3,0,25000,11.01,0.38,4,663,0,1
23,0,66599,0,0,25000,11.36,0.38,3,653,0,1
23,0,67212,2,0,25000,15.65,0.37,3,598,0,1
24,1,66918,1,0,25000,13.22,0.37,4,630,0,1
26,0,68066,2,0,25000,12.87,0.37,2,637,0,1
24,0,245545,1,1,20000,13.04,0.08,3,660,1,0
23,0,229083,0,2,22000,17.58,0.1,3,639,0,1
23,0,17859,0,1,7750,17.04,0.43,4,626,0,1
24,1,72608,3,0,25000,10.99,0.34,3,612,0,1
24,0,73073,1,0,25000,11.11,0.34,3,628,0,1
26,1,65880,2,0,25000,14.83,0.38,2,592,0,1
23,0,17755,1,1,4000,11.01,0.23,3,580,0,1
24,0,241180,3,0,12000,12.69,0.05,2,634,0,0
24,0,240894,3,2,12000,13.49,0.05,2,678,0,0
21,0,240980,0,2,16000,14.65,0.07,4,557,1,0
25,0,65742,3,0,25000,16.82,0.38,4,672,0,1
23,0,72713,0,0,25000,12.73,0.34,3,613,0,1
23,0,72627,3,0,25000,10.25,0.34,4,566,0,1
21,0,72843,0,0,25000,10.99,0.34,4,718,0,1
25,0,75504,4,0,25000,12.73,0.33,2,484,0,1
22,1,68824,0,0,25000,14.96,0.36,3,634,0,1
23,1,241167,2,2,28000,11.01,0.12,2,653,1,0
21,0,241060,0,2,25000,13.99,0.1,2,699,0,0
24,0,240855,0,2,24000,7.49,0.1,4,656,1,0
26,0,241030,3,2,15000,14.79,0.06,3,626,1,0
25,0,240895,2,2,15500,11.99,0.06,2,659,0,0
24,1,240932,4,0,10000,8.49,0.04,4,604,1,0
24,0,80145,1,0,25000,9.91,0.31,2,636,0,1
22,0,80303,0,0,25000,13.06,0.31,3,554,0,1
22,0,241048,0,2,9000,6.17,0.04,4,587,1,0
144,0,241424,121,2,6000,11.86,0.02,2,807,0,0
25,0,241005,4,0,18000,16.32,0.07,3,708,1,0
25,1,240768,2,2,12000,10.38,0.05,2,669,1,0
25,0,241201,2,2,23050,14.35,0.1,3,578,0,0
24,0,240920,5,2,20000,11.01,0.08,3,615,0,0
24,1,72919,1,0,25000,11.01,0.34,2,553,0,1
21,0,18008,0,1,3000,11.01,0.17,4,635,0,1
26,1,81238,3,0,25000,15.21,0.31,2,531,0,1
23,0,80868,1,0,25000,7.9,0.31,4,621,0,1
24,0,81537,1,0,25000,10.99,0.31,3,674,0,1
24,1,82741,0,0,25000,14.09,0.3,3,688,0,1
25,1,83901,3,0,25000,17.49,0.3,2,597,0,1
25,0,240717,1,2,12000,11.48,0.05,3,640,0,0
26,1,226744,0,2,20000,17.74,0.09,2,621,0,1
26,1,241114,5,2,3000,13.92,0.01,3,608,1,0
25,0,85284,3,0,25000,15.21,0.29,3,653,0,1
22,1,18152,0,1,4000,10.99,0.22,3,585,0,1
24,1,84871,3,0,25000,11.86,0.29,4,569,0,1
24,0,18294,2,1,6000,7.49,0.33,3,587,0,1
24,0,68029,1,0,25000,16.49,0.37,4,631,0,1
25,1,80001,4,0,25000,15.33,0.31,2,592,0,1
26,1,79875,6,0,25000,11.58,0.31,4,679,0,1
25,0,18449,1,1,5375,5.79,0.29,2,645,0,1
25,0,88153,0,0,25000,13.11,0.28,2,669,0,1
23,1,90109,0,0,25000,10.36,0.28,3,653,0,1
25,0,90938,1,0,25000,10.36,0.27,2,577,0,1
24,0,231335,0,0,22000,11.01,0.1,2,668,1,0
21,0,231829,0,2,20000,6.54,0.09,4,629,0,0
25,1,230516,4,2,10000,12.53,0.04,4,643,0,0
26,0,229626,0,2,15000,11.01,0.07,3,626,0,0
22,0,228907,0,2,10000,11.01,0.04,3,560,1,0
24,0,90938,0,0,25000,10.25,0.27,4,648,0,1
22,0,86284,0,0,25000,15.95,0.29,4,648,0,1
26,0,228774,3,2,20000,12.18,0.09,4,669,1,0
23,0,229027,2,1,24000,11.83,0.1,3,536,1,0
23,0,94789,1,0,25000,11.01,0.26,2,548,0,1
23,1,94780,0,0,25000,10.62,0.26,3,667,0,1
23,0,95298,0,0,25000,10.74,0.26,3,676,0,1
25,0,223944,1,1,10000,10.25,0.04,4,570,1,0
24,0,222629,0,2,35000,12.42,0.16,2,623,0,0
25,1,222973,2,0,15000,15.27,0.07,2,652,1,0
24,1,75240,1,0,25000,15.33,0.33,2,625,0,1
23,1,96143,1,0,25000,15.21,0.26,2,642,0,1
21,0,18064,0,1,6250,14.72,0.35,2,580,0,1
24,0,96627,2,0,25000,15.7,0.26,2,622,0,1
24,0,96309,3,0,25000,13.35,0.26,4,581,0,1
21,1,18421,1,2,1500,11.01,0.08,4,623,0,0
24,0,96836,1,0,25000,6.62,0.26,2,583,0,1
26,0,96947,4,0,25000,13.61,0.26,4,645,0,1
22,1,222975,2,0,25000,11.36,0.11,2,593,1,0
26,0,222985,3,1,5000,7.68,0.02,2,659,1,0
24,1,223064,0,0,22000,14.46,0.1,4,655,1,0
23,0,221559,2,1,2500,11.83,0.01,2,583,1,0
24,1,207712,0,2,20000,13.47,0.1,4,582,0,1
24,1,220872,1,2,20000,11.49,0.09,3,504,1,0
22,0,220518,0,2,1000,11.01,0,2,551,1,0
25,1,220510,1,2,15000,6.03,0.07,3,529,1,0
23,1,89818,0,0,25000,16.35,0.28,4,674,0,1
26,1,90006,4,0,25000,11.01,0.28,4,595,0,1
25,1,98704,6,0,25000,7.29,0.25,3,597,0,1
23,0,98967,5,0,25000,11.36,0.25,3,566,0,1
24,0,99435,3,0,25000,10.25,0.25,2,666,0,0
24,1,100658,1,0,25000,11.12,0.25,3,695,0,0
24,1,100435,2,0,25000,12.92,0.25,3,576,1,0
24,0,216925,5,0,18000,18.64,0.08,4,651,1,0
23,1,216891,0,2,28000,7.51,0.13,3,633,1,0
23,0,18512,1,1,4000,16.7,0.22,2,566,0,1
22,0,18367,0,1,2100,11.14,0.11,4,583,0,0
22,1,102317,0,0,25000,18.3,0.24,4,586,1,0
24,1,103400,4,0,25000,10.62,0.24,4,592,1,0
24,0,217134,2,2,14000,11.99,0.06,2,598,1,0
26,0,217024,1,2,12000,9.63,0.06,4,637,1,0
25,1,172215,5,2,10000,18.25,0.06,4,628,0,1
23,0,18831,0,2,6000,11.01,0.32,4,667,0,1
24,0,105349,5,0,25000,14.84,0.24,3,621,1,0
24,0,91184,1,0,25000,14.7,0.27,3,668,0,1
23,1,91886,1,0,25000,16.02,0.27,4,544,0,1
23,0,80452,2,0,25000,15.37,0.31,2,699,0,1
25,1,108758,2,0,25000,10.99,0.23,4,611,0,0
21,0,18916,0,1,6200,7.9,0.33,2,615,0,1
26,1,217234,5,1,25000,10.99,0.12,4,559,1,0
24,1,217017,0,1,21000,11.48,0.1,3,577,1,0
25,0,216874,1,1,20000,14.26,0.09,4,657,1,0
26,0,216833,5,1,10000,8,0.05,4,676,1,0
25,0,216483,0,2,9950,11.26,0.05,2,601,0,0
23,1,19000,2,1,4475,11.01,0.24,4,647,0,1
23,1,94363,0,0,25000,16.32,0.26,3,576,0,1
25,0,80570,3,0,25000,17.93,0.31,4,612,0,1
23,0,109167,0,0,25000,11.36,0.23,3,678,0,0
24,1,95753,1,0,25000,14.96,0.26,4,542,0,1
24,1,110935,1,0,25000,13.43,0.23,3,709,1,0
25,0,111490,2,0,25000,12.69,0.22,3,622,1,0
24,0,111729,4,0,25000,12.73,0.22,4,642,1,0
23,1,113396,0,0,25000,15.21,0.22,4,660,0,0
23,1,19175,1,2,1750,12.68,0.09,3,587,1,0
23,1,85787,0,0,25000,19.04,0.29,4,646,0,1
25,1,102114,7,0,25000,15.95,0.24,3,637,0,1
26,0,211005,5,2,2600,8.9,0.01,4,718,0,0
25,0,210903,4,2,8000,7.9,0.04,2,588,1,0
22,0,210555,0,2,18000,11.01,0.09,2,652,0,0
23,0,210937,0,2,21000,11.99,0.1,3,620,1,0
23,0,19062,2,1,4000,13.98,0.21,4,667,0,1
23,1,18926,0,1,4600,10.99,0.24,2,688,0,1
22,0,106694,0,0,25000,15.58,0.23,2,667,0,1
25,0,90718,4,0,25000,10.99,0.28,2,692,0,1
25,0,106668,1,0,25000,14.96,0.23,4,562,0,1
25,0,19158,4,1,1750,15.31,0.09,4,625,1,0
26,0,106419,5,0,25000,15.65,0.23,3,649,0,1
25,1,120696,3,0,25000,9.33,0.21,4,545,1,0
23,0,19065,3,2,3600,13.47,0.19,4,540,0,1
24,1,124083,0,0,25000,10.36,0.2,3,637,1,0
24,0,111673,4,0,25000,16.77,0.22,4,600,0,1
23,0,112633,1,0,25000,14.59,0.22,2,633,0,1
22,0,210938,0,0,3500,11.91,0.02,2,588,0,0
23,1,210720,2,2,7200,8.38,0.03,3,624,1,0
25,0,210705,7,0,9000,10.59,0.04,3,525,1,0
25,0,209997,3,2,8800,14.27,0.04,3,616,1,0
26,1,209873,3,0,12000,12.53,0.06,4,675,0,0
25,1,195268,1,2,25000,16,0.13,3,662,0,1
26,0,209393,2,2,10000,11.71,0.05,4,585,1,0
21,0,18773,0,1,3175,11.54,0.17,3,686,0,1
25,1,116439,2,0,25000,15.68,0.21,4,595,0,1
21,1,19169,2,2,1500,10.59,0.08,2,537,1,0
24,1,118417,0,0,25000,12.61,0.21,2,625,0,1
26,1,133476,0,0,25000,11.01,0.19,2,641,1,0
23,1,19312,4,2,2800,8.49,0.14,3,661,0,1
25,0,192351,1,0,30000,17.27,0.16,4,577,0,1
24,0,206648,4,0,18000,8.9,0.09,4,537,1,0
25,1,205046,6,2,10000,11.11,0.05,4,646,1,0
24,0,190735,1,0,25000,14.59,0.13,2,653,0,1
26,1,204872,3,0,13000,12.42,0.06,3,654,0,0
24,0,100758,0,0,25000,11.01,0.25,2,635,0,1
24,1,133231,3,0,25000,15.7,0.19,2,675,1,0
22,1,18923,0,1,2500,12.53,0.13,3,618,0,1
25,1,161894,0,0,5000,16.49,0.03,2,609,0,1
25,1,205144,0,2,20000,7.49,0.1,2,545,1,0
22,1,121617,2,0,25000,14.96,0.21,2,629,0,1
25,0,136206,6,0,25000,12.73,0.18,4,539,0,0
24,0,144915,4,0,25000,10.65,0.17,4,593,1,0
25,1,145233,3,0,25000,10.74,0.17,2,683,0,0
23,0,145002,1,0,25000,9.99,0.17,2,670,1,0
24,0,110953,0,0,25000,15.33,0.23,2,662,0,1
21,1,19414,2,1,1000,7.29,0.05,4,681,1,0
26,0,130096,1,0,25000,15.05,0.19,3,636,0,1
26,0,157292,0,0,25000,10.75,0.16,3,677,1,0
23,1,156995,3,0,25000,16.02,0.16,2,656,1,0
23,1,156952,0,0,25000,11.49,0.16,4,674,1,0
25,1,205005,6,1,20000,12.53,0.1,4,587,0,0
26,1,205060,2,2,12000,13.57,0.06,2,658,0,0
22,0,203782,4,0,14000,11.14,0.07,3,581,1,0
26,0,203368,3,0,24250,12.87,0.12,3,606,1,0
23,1,203403,0,0,20000,11.58,0.1,3,648,0,0
24,1,202715,3,0,1800,11.12,0.01,3,563,1,0
25,1,202525,1,2,35000,10.65,0.17,2,589,1,0
24,0,161487,1,0,25000,10.37,0.15,2,641,0,0
24,0,19677,3,1,3300,6.39,0.17,4,637,0,1
24,0,161952,2,0,25000,16.07,0.15,3,578,1,0
25,1,161560,0,0,25000,10.62,0.15,2,660,1,0
25,0,19423,3,1,3200,18.09,0.16,2,586,0,1
25,0,163134,5,0,25000,11.36,0.15,4,567,1,0
26,1,163683,5,0,25000,12.53,0.15,4,582,1,0
25,1,174972,3,0,25000,9.99,0.14,4,712,1,0
23,0,181016,4,0,25000,10.36,0.14,3,674,0,0
23,1,198920,0,2,9600,5.99,0.05,3,532,1,0
22,1,184800,1,2,24000,15.62,0.13,2,670,0,1
24,0,198862,6,2,20000,10.37,0.1,4,658,0,0
25,0,199407,0,2,25000,19.74,0.13,4,669,0,0
21,0,198803,0,2,20000,6.91,0.1,4,681,1,0
23,0,20044,3,1,6000,7.9,0.3,2,618,0,1
23,1,20401,4,2,2275,13.06,0.11,4,573,1,0
23,1,19859,0,1,2000,6.39,0.1,3,491,1,0
23,0,178660,2,0,25000,14.93,0.14,3,590,0,1
23,1,20421,0,2,5600,12.84,0.27,4,587,0,1
24,0,20353,2,1,3625,17.14,0.18,2,648,0,1
22,0,20297,0,2,5500,7.14,0.27,3,687,0,1
25,0,210932,0,0,25000,8.9,0.12,2,621,0,0
22,1,20405,0,1,2000,12.42,0.1,3,590,1,0
24,0,223194,0,0,25000,12.68,0.11,2,676,1,0
25,1,195560,0,0,25000,11.03,0.13,2,677,1,0
26,0,194140,6,0,30000,7.9,0.15,4,651,1,0
22,0,193337,0,2,35000,10.65,0.18,4,602,1,0
25,0,270992,2,0,25000,11.86,0.09,4,652,0,0
25,0,20221,5,1,5000,8.94,0.25,4,572,0,1
23,0,20678,0,1,4375,9.63,0.21,4,528,0,1
25,1,60742,3,0,24750,14.22,0.41,3,638,0,1
23,1,72805,2,0,24750,9.33,0.34,3,655,0,1
24,0,102011,3,0,24500,13.85,0.24,4,627,1,0
22,0,20896,0,2,2000,10.65,0.1,2,596,0,0
24,1,111283,0,0,24500,11.46,0.22,4,694,0,0
23,1,192873,0,2,35000,7.66,0.18,2,684,1,0
24,1,193174,0,2,12000,16.77,0.06,4,547,0,0
25,1,193249,0,2,12000,9.63,0.06,4,586,1,0
26,1,192954,5,0,25000,12.23,0.13,4,694,0,0
25,0,152227,2,2,10000,14.09,0.07,4,639,0,1
25,1,65399,0,0,24250,13.98,0.37,4,663,0,1
23,1,75928,4,0,24250,10.62,0.32,4,528,0,1
24,0,21627,0,2,3900,11.01,0.18,3,636,0,1
25,0,83235,3,0,24250,17.56,0.29,4,603,0,1
26,0,68297,3,0,24250,14.96,0.36,2,507,0,1
22,0,89977,3,0,24250,15.65,0.27,2,692,0,1
24,1,79510,2,0,24250,15.7,0.3,2,604,0,1
24,1,109050,5,0,24250,12.53,0.22,3,622,0,0
26,1,94635,2,0,24250,17.56,0.26,3,643,0,1
23,0,120966,0,0,24250,12.87,0.2,2,565,0,0
23,0,124437,0,0,24250,15.7,0.19,2,718,1,0
25,0,193147,3,2,9000,11.01,0.05,3,625,1,0
25,0,192914,0,1,15000,11.14,0.08,4,614,1,0
24,1,192806,2,2,20000,16,0.1,3,690,1,0
23,0,193097,0,2,25000,15.65,0.13,2,564,1,0
26,1,193082,5,2,13750,11.01,0.07,4,579,1,0
21,1,192841,1,2,15250,15.31,0.08,4,648,0,0
25,0,193300,3,2,20000,13.47,0.1,2,531,1,0
22,0,21205,0,2,4750,13.85,0.22,2,658,0,1
25,1,135292,3,0,24250,11.01,0.18,3,574,0,0
21,0,21363,2,2,6000,10.39,0.28,4,671,0,1
25,0,139035,7,0,24250,11.36,0.17,2,633,0,0
23,0,173511,0,0,24250,11.83,0.14,3,631,1,0
23,0,345520,0,0,24250,12.53,0.07,3,652,1,0
22,1,130762,3,0,24150,14.96,0.18,3,683,0,1
22,1,52596,0,0,24000,13.85,0.46,3,693,0,1
23,1,57326,2,0,24000,11.58,0.42,4,603,0,1
24,1,58262,1,0,24000,16.29,0.41,2,522,0,1
26,1,58620,4,0,24000,11.01,0.41,3,664,0,1
21,1,55113,0,0,24000,16.29,0.44,2,645,0,1
25,0,63361,2,0,24000,10.74,0.38,2,592,0,1
22,1,22107,4,2,2250,15.27,0.1,3,636,1,0
24,1,57356,3,0,24000,17.8,0.42,2,672,0,1
22,1,21790,0,2,1000,11.36,0.05,2,686,1,0
22,1,59680,0,0,24000,17.56,0.4,4,590,0,1
26,1,72720,2,0,24000,7.9,0.33,4,636,0,1
25,1,73024,5,0,24000,10.99,0.33,4,580,0,1
22,0,73110,0,0,24000,7.29,0.33,3,674,0,1
21,1,72902,0,0,24000,10.75,0.33,2,601,0,1
26,1,75416,4,0,24000,7.9,0.32,3,620,0,1
22,0,75959,0,0,24000,14.84,0.32,2,642,0,1
26,0,79222,7,0,24000,11.01,0.3,2,616,0,1
22,1,21824,0,2,4975,11.01,0.23,3,588,0,1
23,0,71875,1,0,24000,19.69,0.33,2,585,0,1
23,0,80313,1,0,24000,11.01,0.3,4,632,0,1
24,0,72647,5,0,24000,14.96,0.33,4,556,0,1
25,0,80492,4,0,24000,6.99,0.3,3,602,0,1
22,0,75646,0,0,24000,16.45,0.32,4,639,0,1
24,0,85223,3,0,24000,10.99,0.28,4,603,0,1
23,0,89735,2,0,24000,10.99,0.27,2,689,0,1
22,0,22364,4,1,3000,7.9,0.13,4,672,0,1
22,1,90780,2,0,24000,12.69,0.26,4,499,0,1
24,0,90889,1,0,24000,10.37,0.26,3,643,0,1
24,0,90911,2,0,24000,11.01,0.26,3,589,0,1
26,0,83953,2,0,24000,15.83,0.29,3,646,0,1
23,0,94644,1,0,24000,13.92,0.25,3,613,0,1
22,1,22616,0,1,2000,11.49,0.09,3,567,0,0
24,1,96989,4,0,24000,10.25,0.25,2,603,0,0
22,1,22867,3,1,3500,7.49,0.15,4,647,0,1
23,1,22583,1,1,4000,5.99,0.18,2,645,0,1
23,1,90900,0,0,24000,12.92,0.26,2,672,0,1
26,1,107641,6,0,24000,11.58,0.22,3,648,0,0
25,0,114870,4,0,24000,8.9,0.21,2,653,0,0
22,0,100479,0,0,24000,19.69,0.24,3,590,0,1
25,1,114958,2,0,24000,6.54,0.21,4,704,1,0
21,1,22882,0,1,4900,14.54,0.21,4,674,0,1
21,1,22392,0,1,5000,11.11,0.22,2,594,0,1
26,1,120498,5,0,24000,12.73,0.2,4,626,0,0
24,1,132873,2,0,24000,15.62,0.18,4,701,1,0
24,0,22635,3,1,6250,6.54,0.28,4,602,0,1
22,1,118299,0,0,24000,11.01,0.2,2,503,0,1
26,1,125665,5,0,24000,20,0.19,4,657,0,1
22,1,144904,0,0,24000,9.91,0.17,4,638,0,0
24,1,144882,2,0,24000,12.69,0.17,4,646,1,0
26,0,130649,4,0,24000,20,0.18,3,678,0,1
24,0,149622,4,0,24000,16.49,0.16,4,684,1,0
23,0,22957,1,2,2500,15.95,0.11,2,594,0,1
24,0,157225,1,0,24000,11.49,0.15,3,538,1,0
25,1,163004,3,0,24000,10.99,0.15,2,662,0,0
24,0,163035,2,0,24000,13.79,0.15,2,636,1,0
23,0,138731,0,0,24000,20,0.17,3,613,0,1
23,1,180804,1,0,24000,7.49,0.13,4,573,1,0
23,0,166378,0,0,24000,16,0.14,2,714,0,1
24,0,22684,0,1,13000,7.88,0.57,3,640,0,1
